"intGlCode","Fk_Licence","FK_Licence_Type","varTitle","chrFileFlag","varFile","varFileUrl","intDisplayOrder","chrDelete","chrPublish","dtCreateDate","dtModifyDate","varIpAddress","PUserGlCode","varAdminReview"
"86","15","2","View old Amendment #1 (Surrender 91.9MHz Spectrum)","U","ViewoldAmendment1_1417645449.pdf",NULL,"2","N","Y","2014-12-03 04:24:09","2016-10-25 04:40:35","179.218.172.243","1",NULL
"87","16","1","View Licence document","U","ViewLicencedocument_1417645668.pdf",NULL,"1","N","Y","2014-12-03 04:27:48","2014-12-03 04:27:48","27.54.170.98","1",NULL
"88","16","2","View old Licence document","U","ViewoldLicencedocument_1417645686.pdf",NULL,"1","N","Y","2014-12-03 04:28:06","2014-12-03 04:28:06","27.54.170.98","1",NULL
"89","16","2","View old Amendment #1 (Addition of Type 2 Network and Type 3 Service)","U","ViewoldAmendment1_1417645702.pdf",NULL,"2","N","Y","2014-12-03 04:28:22","2016-10-21 05:16:32","179.218.172.243","1",NULL
"90","16","2","View old Amendment #2 (Allocation of 1800MHz & 1900MHz Spectrum)","U","ViewoldAmendment2_1417645710.pdf",NULL,"3","N","Y","2014-12-03 04:28:30","2016-10-21 05:17:32","179.218.172.243","1",NULL
"91","16","2","View old Amendment #3 (Extension of 90 days to CDMA launch date)","U","ViewoldAmendment3_1417645719.pdf",NULL,"4","N","Y","2014-12-03 04:28:39","2016-10-21 05:18:54","179.218.172.243","1",NULL
"92","16","2","View old Amendment #4 (Amend Annex 1B - Caymanian Participation)","U","ViewoldAmendment4_1417645724.pdf",NULL,"5","N","Y","2014-12-03 04:28:44","2016-10-21 05:20:07","179.218.172.243","1",NULL
"93","17","1","View Licence document","U","ViewLicencedocument_1417645879.pdf",NULL,"1","N","Y","2014-12-03 04:31:19","2014-12-03 04:31:19","27.54.170.98","1",NULL
"94","17","1","View Amendment #1 (Amend Annex 2)","U","ViewAmendment1_1417645893.pdf",NULL,"2","N","Y","2014-12-03 04:31:33","2016-10-21 05:21:11","179.218.172.243","1",NULL
"95","18","1","View Licence document","U","ViewLicencedocument_1417646193.pdf",NULL,"3","N","Y","2014-12-03 04:36:33","2014-12-03 04:36:33","27.54.170.98","1",NULL
"96","18","1","View Amendment #1 (Allocation of 700MHz Spectrum)","U","ViewAmendment1_1417646224.pdf",NULL,"4","N","Y","2014-12-03 04:37:04","2016-10-21 05:30:22","179.218.172.243","1",NULL
"97","18","1","View Amendment #2 (Voice Service Roll Out Schedule Added)","U","ViewAmendment2_1417646230.pdf",NULL,"5","N","Y","2014-12-03 04:37:10","2016-10-21 05:33:07","179.218.172.243","1",NULL
"98","18","1","View Amendment #3 (Allocation of 5GHz Spectrum, Addition of Type 12 Service)","U","ViewAmendment3_1417646237.pdf",NULL,"6","N","Y","2014-12-03 04:37:17","2016-10-21 05:35:35","179.218.172.243","1",NULL
"99","18","1","View Amendment #4 (Allocation of 7GHz Spectrum)","U","ViewAmendment4_1417646245.pdf",NULL,"7","N","Y","2014-12-03 04:37:25","2016-10-21 05:36:39","179.218.172.243","1",NULL
"100","18","1","View Amendment #5 (Allocation of 5GHz Spectrum)","U","ViewAmendment5_1417646255.pdf",NULL,"8","N","Y","2014-12-03 04:37:35","2016-10-21 05:37:35","179.218.172.243","1",NULL
"101","18","1","View Amendment #6 (Addition of Type 14 Service)","U","ViewAmendment6_1417646262.pdf",NULL,"9","N","Y","2014-12-03 04:37:42","2016-10-21 05:38:39","179.218.172.243","1",NULL
"102","18","1","View Amendment #7 (Allocation of 8GHz Spectrum)","U","ViewAmendment7_1417646270.pdf",NULL,"10","N","Y","2014-12-03 04:37:50","2016-10-21 05:40:19","179.218.172.243","1",NULL
"103","18","1","View Amendment #8 (Addition of Type D1 Network & Types 1, 4 & 11 Services)","U","ViewAmendment8_1417646276.pdf",NULL,"11","N","Y","2014-12-03 04:37:56","2016-10-21 05:42:44","179.218.172.243","1",NULL
"104","18","1","View Amendment #9 (Allocation of 5GHz Spectrum, Surrender of 5GHz Spectrum)","U","ViewAmendment9_1417646284.pdf",NULL,"12","N","Y","2014-12-03 04:38:04","2016-10-21 05:44:15","179.218.172.243","1",NULL
"105","18","1","View Amendment #10. (Amend certain 5GHz Spectrum to Exclusive Use)","U","ViewAmendment10_1417646292.pdf",NULL,"13","N","Y","2014-12-03 04:38:12","2016-10-21 05:47:22","179.218.172.243","1",NULL
"106","18","1","View Amendment #11 (Amend 2500 - 2700MHz Spectrum Allocation)","U","ViewAmendment11_1417646296.pdf",NULL,"14","N","Y","2014-12-03 04:38:16","2016-10-21 05:49:49","179.218.172.243","1",NULL
"107","18","1","View Amendment #12 (Additional 2 NXX's)","U","ViewAmendment12_1417646305.pdf",NULL,"15","N","Y","2014-12-03 04:38:25","2016-10-21 05:51:54","179.218.172.243","1",NULL
"108","18","1","View Amendment #13 (Surrender 700MHz Spectrum)","U","ViewAmendment13_1417646313.pdf",NULL,"16","N","Y","2014-12-03 04:38:33","2016-10-21 05:53:03","179.218.172.243","1",NULL
"109","18","1","View Amendment #14 (Amend Annex 1B - Caymanian Participation)","U","ViewAmendment14_1417646323.pdf",NULL,"17","N","Y","2014-12-03 04:38:43","2016-10-21 05:54:40","179.218.172.243","1",NULL
"110","18","1","View Amendment #15 (Surrender 2 NXX's)","U","ViewAmendment15_1417646330.pdf",NULL,"18","N","Y","2014-12-03 04:38:50","2016-10-21 05:55:43","179.218.172.243","1",NULL
"111","18","1","View Amendment #16 (Surrender 2400-2500 MHz Spectrum, Correct Annex 4 error in Amendment 15)","U","ViewAmendment16_1417646337.pdf",NULL,"19","N","Y","2014-12-03 04:38:57","2016-10-21 05:59:24","179.218.172.243","1",NULL
"112","18","1","View Amendment #17 (Additional Type F Network and Types 6, 7 & 15 Services)","U","ViewAmendment17_1417646346.pdf",NULL,"20","N","Y","2014-12-03 04:39:06","2016-10-21 06:01:17","179.218.172.243","1",NULL
"113","18","1","View Amendment #18 (Amend Annex 1A - Add Fibre Roll Out Schedule)","U","ViewAmendment18_1417646354.pdf",NULL,"21","N","Y","2014-12-03 04:39:14","2016-10-21 06:03:02","179.218.172.243","1",NULL
"114","18","1","View Amendment #19 (Allocation of 524 - 530MHz (Ch 23) Spectrum)","U","ViewAmendment19_1417646361.pdf",NULL,"22","N","Y","2014-12-03 04:39:21","2016-10-21 06:04:37","179.218.172.243","1",NULL
"115","18","1","View Amendment #20 (Amend Annex 2)","U","ViewAmendment20_1417646371.pdf",NULL,"23","N","Y","2014-12-03 04:39:31","2016-10-21 06:05:24","179.218.172.243","1",NULL
"116","18","1","View Amendment #21 (Amend local content percentage of Type 6 Service)","U","ViewAmendment21_1417646379.pdf",NULL,"24","N","Y","2014-12-03 04:39:39","2016-10-21 06:06:58","179.218.172.243","1",NULL
"117","18","1","View Amendment #22 (Extend part Fibre Roll Out Schedule 7 months)","U","ViewAmendment22_1417646387.pdf",NULL,"25","N","Y","2014-12-03 04:39:47","2016-10-21 06:10:37","179.218.172.243","1",NULL
"118","19","1","View Licence document","U","ViewLicencedocument_1417646610.pdf",NULL,"1","N","Y","2014-12-03 04:43:30","2014-12-03 04:43:30","27.54.170.98","1",NULL
"119","19","1","View Amendment #1 (Amend Channel 21 Spectrum)","U","ViewAmendment1_1417646626.pdf",NULL,"2","N","Y","2014-12-03 04:43:46","2016-10-22 07:15:47","179.218.172.243","1",NULL
"120","19","1","View Amendment #2 (Amend Annex 2)","U","ViewAmendment2_1417646633.pdf",NULL,"3","N","Y","2014-12-03 04:43:53","2016-10-22 07:14:20","179.218.172.243","1",NULL
"121","20","1","View Licence document","U","ViewLicencedocument_1417646836.pdf",NULL,"1","N","Y","2014-12-03 04:47:16","2014-12-03 04:47:16","27.54.170.98","1",NULL
"122","20","1","View Amendment #1 (Allocation of 700MHz & 4.9GHz Spectrum)","U","ViewAmendment1_1417646854.pdf",NULL,"2","N","Y","2014-12-03 04:47:34","2016-10-22 07:17:52","179.218.172.243","1",NULL
"123","20","1","View Amendment #2 (Allocation of 1400MHz and 1500MHz Spectrum)","U","ViewAmendment2_1417646860.pdf",NULL,"3","N","Y","2014-12-03 04:47:40","2016-10-22 07:19:08","179.218.172.243","1",NULL
"124","20","1","View Amendment #3 (Allocation of 4.9GHz, 58.1GHz & 62.9GHz Spectrum)","U","ViewAmendment3_1417646867.pdf",NULL,"4","N","Y","2014-12-03 04:47:47","2016-10-22 07:20:55","179.218.172.243","1",NULL
"125","20","1","View Amendment #4 (Allocation of 2.8GHz & 6GHz Spectrum)","U","ViewAmendment4_1417646876.pdf",NULL,"5","N","Y","2014-12-03 04:47:56","2016-10-22 07:22:39","179.218.172.243","1",NULL
"126","20","1","View Amendment #5 (Addition of Type 6 Service, Allocation of 6GHz Spectrum)","U","ViewAmendment5_1417646884.pdf",NULL,"6","N","Y","2014-12-03 04:48:04","2016-10-22 07:24:12","179.218.172.243","1",NULL
"127","21","1","View Licence document","U","ViewLicencedocument_1417647067.pdf",NULL,"1","N","Y","2014-12-03 04:51:07","2014-12-03 04:51:07","27.54.170.98","1",NULL
"128","21","1","View Amendment #1 (Allocation of 155.1MHz Spectrum)","U","ViewAmendment1_1417647080.pdf",NULL,"2","N","Y","2014-12-03 04:51:20","2016-10-25 05:16:13","179.218.172.243","1",NULL
"129","22","1","View Licence document","U","ViewLicencedocument_1417647399.pdf",NULL,"1","N","Y","2014-12-03 04:56:39","2014-12-03 04:56:39","27.54.170.98","1",NULL
